machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
9,CRぱちんこコードギアス 反逆のルルーシュ Z4,2019-09-04,2019-11-20,12,CRぱちんこコードギアス 反逆のルルーシュ Z4,,1.0,ほぼ一致,,
278,CRぱちんこ仮面ライダー フルスロットル 闇のバトルver.,2020-04-30,2020-04-30,1,CRぱちんこ仮面ライダー フルスロットル 闇のバトルver.,,1.0,ほぼ一致,,
128,CRぱちんこ魔法少女まどか☆マギカ H2,2019-10-02,2020-10-07,4,CRぱちんこ魔法少女まどか☆マギカ H2,,1.0,ほぼ一致,,
121,CRひぐらしのなく頃に～叫～ 319Ver.,2019-09-25,2020-02-12,16,CRひぐらしのなく頃に～叫～ 319Ver.,,1.0,ほぼ一致,,
315,CRシュタインズ・ゲート 未来ガジェット319号機,2020-06-17,2020-10-07,7,CRシュタインズ・ゲート 未来ガジェット319号機,,1.0,ほぼ一致,,
10,CRスーパー海物語 IN JAPAN 319バージョン,2019-09-04,2022-02-09,85,CRスーパー海物語 IN JAPAN 319バージョン,,1.0,ほぼ一致,,
11,CRスーパー海物語 IN JAPAN 金富士 新MAX319バージョン,2019-09-04,2021-04-14,74,CRスーパー海物語 IN JAPAN 金富士 新MAX319バージョン,,1.0,ほぼ一致,,
12,CRスーパー海物語IN沖縄3 桜ライト,2019-09-04,2020-01-15,19,CRスーパー海物語IN沖縄3 桜ライト,,1.0,ほぼ一致,,
13,CRスーパー海物語IN沖縄4 MTC,2019-09-04,2020-11-25,29,CRスーパー海物語IN沖縄4 MTC,,1.0,ほぼ一致,,
311,CRスーパー海物語IN沖縄4桜バージョン ライト199ver.,2020-06-10,2020-09-02,12,CRスーパー海物語IN沖縄4桜バージョン ライト199ver.,,1.0,ほぼ一致,,
256,CRスーパー海物語IN沖縄4桜バージョン 新マックス319ver.,2020-03-18,2020-09-23,10,CRスーパー海物語IN沖縄4桜バージョン 新マックス319ver.,,1.0,ほぼ一致,,
318,CRダイナマイトキングin沖縄 爆はいさいVer.,2020-07-01,2020-12-16,11,CRダイナマイトキングin沖縄 爆はいさいVer.,,1.0,ほぼ一致,,
14,CRトキオスペシャル V1,2019-09-04,2021-12-15,54,CRトキオスペシャル V1,,1.0,ほぼ一致,,
15,CRビッグドリーム～神撃 259Ver.,2019-09-04,2021-10-27,106,CRビッグドリーム～神撃 259Ver.,,1.0,ほぼ一致,,
117,CRフィーバークィーンⅡ DX,2019-09-18,2020-11-11,24,CRフィーバークィーンⅡ DX,,1.0,ほぼ一致,,
279,CRフィーバー宇宙戦艦ヤマト -ONLY ONE- ライトミドルタイプ,2020-04-30,2020-09-09,2,CRフィーバー宇宙戦艦ヤマト -ONLY ONE- ライトミドルタイプ,,1.0,ほぼ一致,,
265,CRフィーバー戦姫絶唱シンフォギア,2020-04-01,2020-04-30,4,CRフィーバー戦姫絶唱シンフォギア,,1.0,ほぼ一致,,
280,CRフィーバー戦姫絶唱シンフォギア LIGHT ver.,2020-04-30,2020-06-03,2,CRフィーバー戦姫絶唱シンフォギア LIGHT ver.,,1.0,ほぼ一致,,
170,CRマッハGoGoGo GP7000 XVTS,2019-11-27,2019-12-18,4,CRマッハGoGoGo GP7000 XVTS,,1.0,ほぼ一致,,
16,CRリング 運命の日 FPSZ,2019-09-04,2020-12-23,61,CRリング 運命の日 FPSZ,,1.0,ほぼ一致,,
101,CRリング 運命の日 FPWZ,2019-09-11,2021-02-10,36,CRリング 運命の日 FPWZ,,1.0,ほぼ一致,,
17,CRルパン三世～消されたルパン～ 299Ver.,2019-09-04,2019-10-23,8,CRルパン三世～消されたルパン～ 299Ver.,,1.0,ほぼ一致,,
18,CR大海物語4 MTB,2019-09-04,2022-02-16,122,CR大海物語4 MTB,,1.0,ほぼ一致,,
281,CR大海物語4 with アグネス・ラム SBC,2020-04-30,2020-06-24,2,CR大海物語4 with アグネス・ラム SBC,,1.0,ほぼ一致,,
19,CR大海物語BLACK ライト,2019-09-04,2022-02-09,121,CR大海物語BLACK ライト,,1.0,ほぼ一致,,
271,CR大海物語スペシャル MTE15,2020-04-15,2020-06-24,3,CR大海物語スペシャル MTE15,,1.0,ほぼ一致,,
200,CR戦国乙女5～10th Anniversary～ H1BZ1,2020-01-08,2021-12-22,15,CR戦国乙女5～10th Anniversary～ H1BZ1,,1.0,ほぼ一致,,
20,CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,2019-09-04,2021-04-28,74,CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,,1.0,ほぼ一致,,
349,CR百花繚乱 サムライブライド M5BZ2,2020-09-23,2020-09-30,2,CR百花繚乱 サムライブライド M5BZ2,,1.0,ほぼ一致,,
21,CR真・花の慶次 L6-K,2019-09-04,2021-05-12,44,CR真・花の慶次 L6-K,,1.0,ほぼ一致,,
22,CR真・花の慶次2～漆黒の衝撃 2400,2019-09-04,2022-02-09,106,CR真・花の慶次2～漆黒の衝撃 2400,,1.0,ほぼ一致,,
323,CR緋弾のアリアⅡ FPM,2020-07-22,2021-04-07,9,CR緋弾のアリアⅡ FPM,,1.0,ほぼ一致,,
23,CR聖闘士星矢-BEYOND THE LIMIT- MLA,2019-09-04,2022-01-19,117,CR聖闘士星矢-BEYOND THE LIMIT- MLA,,1.0,ほぼ一致,,
